,Attacker,Graph size,Returns,Episode lengths
0,well-informed,7,5.0,203.0
1,well-informed,7,-7559.0,16.0
2,well-informed,7,-18766.0,251.0
3,well-informed,7,-55223.0,115.0
4,well-informed,7,-4852.0,8.0
5,well-informed,27,-49113.0,486.0
6,well-informed,27,-58865.0,498.0
7,well-informed,27,-39394.0,389.0
8,well-informed,27,-52429.0,635.0
9,well-informed,27,-71409.0,519.0
10,well-informed,44,-85531.0,691.0
11,well-informed,44,-118847.0,1126.0
12,well-informed,44,-55060.0,1081.0
13,well-informed,44,-155302.0,862.0
14,well-informed,44,-81842.0,478.0
15,well-informed,56,-70079.0,412.0
16,well-informed,56,-108616.0,421.0
17,well-informed,56,-124608.0,350.0
18,well-informed,56,-111526.0,436.0
19,well-informed,56,-111216.0,356.0
20,well-informed,62,-61382.0,574.0
21,well-informed,62,-84570.0,607.0
22,well-informed,62,-70449.0,593.0
23,well-informed,62,-165120.0,562.0
24,well-informed,62,-145965.0,749.0
25,well-informed,65,-111880.0,436.0
26,well-informed,65,-127947.0,1003.0
27,well-informed,65,-66058.0,911.0
28,well-informed,65,-117925.0,444.0
29,well-informed,65,-135306.0,561.0
30,well-informed,78,-180150.0,694.0
31,well-informed,78,-162837.0,752.0
32,well-informed,78,-135524.0,1202.0
33,well-informed,78,-205091.0,908.0
34,well-informed,78,-111538.0,1590.0
35,informed,7,5.0,203.0
36,informed,7,-7559.0,16.0
37,informed,7,-18766.0,251.0
38,informed,7,-55223.0,115.0
39,informed,7,-4852.0,8.0
40,informed,27,-49113.0,486.0
41,informed,27,-58865.0,498.0
42,informed,27,-39394.0,389.0
43,informed,27,-52429.0,635.0
44,informed,27,-71409.0,519.0
45,informed,44,-85531.0,691.0
46,informed,44,-118847.0,1126.0
47,informed,44,-55060.0,1081.0
48,informed,44,-155302.0,862.0
49,informed,44,-81842.0,478.0
50,informed,56,-70079.0,412.0
51,informed,56,-108616.0,421.0
52,informed,56,-124608.0,350.0
53,informed,56,-111526.0,436.0
54,informed,56,-111216.0,356.0
55,informed,62,-61382.0,574.0
56,informed,62,-84570.0,607.0
57,informed,62,-70449.0,593.0
58,informed,62,-165120.0,562.0
59,informed,62,-145965.0,749.0
60,informed,65,-111880.0,436.0
61,informed,65,-127947.0,1003.0
62,informed,65,-66058.0,911.0
63,informed,65,-117925.0,444.0
64,informed,65,-135306.0,561.0
65,informed,78,-180150.0,694.0
66,informed,78,-162837.0,752.0
67,informed,78,-135524.0,1202.0
68,informed,78,-205091.0,908.0
69,informed,78,-111538.0,1590.0
70,round-robin-no-action,7,401.0,401.0
71,round-robin-no-action,7,-7029.0,37.0
72,round-robin-no-action,7,-18454.0,65.0
73,round-robin-no-action,7,-22550.0,109.0
74,round-robin-no-action,7,-7261.0,51.0
75,round-robin-no-action,27,-47383.0,832.0
76,round-robin-no-action,27,-51901.0,497.0
77,round-robin-no-action,27,-48117.0,1280.0
78,round-robin-no-action,27,-60149.0,613.0
79,round-robin-no-action,27,-52248.0,1287.0
80,round-robin-no-action,44,-82651.0,1011.0
81,round-robin-no-action,44,-101229.0,1387.0
82,round-robin-no-action,44,-59444.0,871.0
83,round-robin-no-action,44,-65443.0,1912.0
84,round-robin-no-action,44,-92717.0,1219.0
85,round-robin-no-action,56,-65178.0,789.0
86,round-robin-no-action,56,-103984.0,995.0
87,round-robin-no-action,56,-114271.0,701.0
88,round-robin-no-action,56,-45248.0,1615.0
89,round-robin-no-action,56,-97171.0,1093.0
90,round-robin-no-action,62,-52790.0,1111.0
91,round-robin-no-action,62,-88255.0,1148.0
92,round-robin-no-action,62,-107671.0,1650.0
93,round-robin-no-action,62,-125428.0,1067.0
94,round-robin-no-action,62,-118090.0,964.0
95,round-robin-no-action,65,-105656.0,825.0
96,round-robin-no-action,65,-92007.0,1106.0
97,round-robin-no-action,65,-120869.0,828.0
98,round-robin-no-action,65,-126414.0,682.0
99,round-robin-no-action,65,-98594.0,1331.0
