,Attacker,Graph size,Returns,Episode lengths
1342,round-robin,44,-160950.0,1279.0
1343,round-robin,44,-62470.0,815.0
1344,round-robin,44,-56974.0,1399.0
1345,round-robin,56,-108101.0,419.0
1346,round-robin,56,-113260.0,422.0
1347,round-robin,56,-191253.0,329.0
1348,round-robin,56,-135277.0,402.0
1349,round-robin,56,-76391.0,649.0
1350,round-robin,62,-132105.0,408.0
1351,round-robin,62,-204718.0,818.0
1352,round-robin,62,-126834.0,642.0
1353,round-robin,62,-155416.0,417.0
1354,round-robin,62,-112988.0,332.0
1355,round-robin,65,-97942.0,443.0
1356,round-robin,65,-141968.0,678.0
1357,round-robin,65,-239741.0,806.0
1358,round-robin,65,-142735.0,482.0
1359,round-robin,65,-117150.0,369.0
1360,round-robin,78,-175140.0,866.0
1361,round-robin,78,-149534.0,1268.0
1362,round-robin,78,-177669.0,926.0
1363,round-robin,78,-179340.0,837.0
1364,round-robin,78,-124545.0,1068.0
1365,random,7,-651.0,127.0
1366,random,7,-14706.0,56.0
1367,random,7,-1259.0,63.0
1368,random,7,-222.0,44.0
1369,random,7,-11098.0,128.0
1370,random,27,-78917.0,394.0
1371,random,27,-72976.0,566.0
1372,random,27,-63977.0,488.0
1373,random,27,-49248.0,482.0
1374,random,27,-132640.0,479.0
1375,random,44,-55179.0,790.0
1376,random,44,-90246.0,748.0
1377,random,44,-160950.0,1279.0
1378,random,44,-62470.0,815.0
1379,random,44,-56974.0,1399.0
1380,random,56,-108101.0,419.0
1381,random,56,-113260.0,422.0
1382,random,56,-191253.0,329.0
1383,random,56,-135277.0,402.0
1384,random,56,-76391.0,649.0
1385,random,62,-132105.0,408.0
1386,random,62,-204718.0,818.0
1387,random,62,-126834.0,642.0
1388,random,62,-155416.0,417.0
1389,random,62,-112988.0,332.0
1390,random,65,-97942.0,443.0
1391,random,65,-141968.0,678.0
1392,random,65,-239741.0,806.0
1393,random,65,-142735.0,482.0
1394,random,65,-117150.0,369.0
1395,random,78,-175140.0,866.0
1396,random,78,-149534.0,1268.0
1397,random,78,-177669.0,926.0
1398,random,78,-179340.0,837.0
1399,random,78,-124545.0,1068.0
