,Agent,Graph size,Episode lengths,Returns
1835,R2D2,78,734,-141848
1836,R2D2,78,269,-69114
1837,R2D2,78,555,-71805
1838,R2D2,78,244,-31831
1839,R2D2,78,212,-12214
1840,rule-based,78,203,3324
1841,rule-based,78,140,2364
1842,rule-based,78,64,1115
1843,rule-based,78,329,5329
1844,rule-based,78,186,3041
1845,rule-based,78,127,2102
1846,rule-based,78,74,1280
1847,rule-based,78,608,9864
1848,rule-based,78,113,1885
1849,rule-based,78,78,1302
1850,random,78,18,211
1851,random,78,28,223
1852,random,78,24,-15387
1853,random,78,12,107
1854,random,78,11,115
1855,random,78,27,-309
1856,random,78,16,-3093
1857,random,78,20,177
1858,random,78,34,-1437
1859,random,78,17,169
1860,R2D2,78,406,-124654
1861,R2D2,78,185,-7498
1862,R2D2,78,184,-53001
1863,R2D2,78,111,-37783
1864,R2D2,78,109,-10610
1865,R2D2,78,378,-103305
1866,R2D2,78,386,-114451
1867,R2D2,78,534,-41950
1868,R2D2,78,104,-20951
1869,R2D2,78,764,-97850
1870,rule-based,78,99,1671
1871,rule-based,78,270,4471
1872,rule-based,78,56,958
1873,rule-based,78,73,1223
1874,rule-based,78,109,1775
1875,rule-based,78,101,1701
1876,rule-based,78,113,1905
1877,rule-based,78,284,4572
1878,rule-based,78,48,803
1879,rule-based,78,83,1472
1880,random,78,22,189
1881,random,78,60,267
1882,random,78,23,194
1883,random,78,35,-8359
1884,random,78,15,171
1885,random,78,36,263
1886,random,78,16,112
1887,random,78,26,-6697
1888,random,78,5,63
1889,random,78,10,117
1890,R2D2,78,236,-41570
1891,R2D2,78,89,-26406
1892,R2D2,78,213,-51876
1893,R2D2,78,393,-35865
1894,R2D2,78,275,-9633
1895,R2D2,78,924,-42660
1896,R2D2,78,467,-37805
1897,R2D2,78,370,-35796
1898,R2D2,78,82,-4732
1899,R2D2,78,384,-55317
1900,rule-based,78,93,1660
1901,rule-based,78,74,1287
1902,rule-based,78,98,1682
1903,rule-based,78,44,748
1904,rule-based,78,122,2055
1905,rule-based,78,194,3253
1906,rule-based,78,159,2753
1907,rule-based,78,134,2210
1908,rule-based,78,98,1617
1909,rule-based,78,158,2554
1910,random,78,22,210
1911,random,78,9,129
1912,random,78,15,163
1913,random,78,37,181
1914,random,78,11,125
1915,random,78,24,189
1916,random,78,4,56
1917,random,78,40,-1526
1918,random,78,4,53
1919,random,78,28,199
1920,R2D2,78,497,-57352
1921,R2D2,78,600,-55428
1922,R2D2,78,861,-130669
1923,R2D2,78,439,-26834
1924,R2D2,78,663,-33907
1925,R2D2,78,759,-90304
1926,R2D2,78,998,-152468
1927,R2D2,78,269,-22058
1928,R2D2,78,725,-86502
1929,R2D2,78,524,-42508
1930,rule-based,78,469,7608
1931,rule-based,78,69,1171
1932,rule-based,78,70,1194
1933,rule-based,78,47,804
1934,rule-based,78,67,1143
1935,rule-based,78,208,3506
1936,rule-based,78,60,1058
1937,rule-based,78,712,11470
1938,rule-based,78,94,1570
1939,rule-based,78,36,638
1940,random,78,38,-30312
1941,random,78,24,187
1942,random,78,11,136
1943,random,78,16,167
1944,random,78,30,243
1945,random,78,31,253
1946,random,78,11,-11424
1947,random,78,13,128
1948,random,78,15,166
1949,random,78,14,133
1950,R2D2,78,750,-116261
1951,R2D2,78,802,-92584
1952,R2D2,78,323,-49215
1953,R2D2,78,499,-47345
1954,R2D2,78,350,-70575
1955,R2D2,78,589,-36407
1956,R2D2,78,532,-47661
1957,R2D2,78,182,-4805
1958,R2D2,78,865,-45104
1959,R2D2,78,308,-159211
1960,rule-based,78,57,991
1961,rule-based,78,144,2340
1962,rule-based,78,168,2811
1963,rule-based,78,104,1718
1964,rule-based,78,41,675
1965,rule-based,78,178,2946
1966,rule-based,78,187,3066
1967,rule-based,78,131,2203
1968,rule-based,78,150,2501
1969,rule-based,78,122,2014
1970,random,78,5,63
1971,random,78,6,81
1972,random,78,27,151
1973,random,78,16,165
1974,random,78,26,164
1975,random,78,19,181
1976,random,78,8,91
1977,random,78,25,196
1978,random,78,6,82
1979,random,78,9,113
1980,R2D2,78,443,-65620
1981,R2D2,78,430,-19822
1982,R2D2,78,875,-80256
1983,R2D2,78,255,-48370
1984,R2D2,78,516,-58703
1985,R2D2,78,427,-16405
1986,R2D2,78,838,-49389
1987,R2D2,78,378,-37219
1988,R2D2,78,425,-116845
1989,R2D2,78,402,-92481
1990,rule-based,78,222,3656
1991,rule-based,78,192,3132
1992,rule-based,78,50,889
1993,rule-based,78,199,3312
1994,rule-based,78,189,3197
1995,rule-based,78,230,3798
1996,rule-based,78,90,1492
1997,rule-based,78,196,3206
1998,rule-based,78,63,1059
1999,rule-based,78,143,2349
2000,random,78,55,-21886
2001,random,78,8,97
2002,random,78,46,196
2003,random,78,33,187
2004,random,78,7,78
2005,random,78,19,-9373
2006,random,78,38,300
2007,random,78,13,130
2008,random,78,18,183
2009,random,78,16,173
2010,R2D2,78,573,-65277
2011,R2D2,78,642,-71547
2012,R2D2,78,400,-84540
2013,R2D2,78,738,-40553
2014,R2D2,78,546,-32516
2015,R2D2,78,305,-66555
2016,R2D2,78,1167,-50038
2017,R2D2,78,616,-101611
2018,R2D2,78,238,-40872
2019,R2D2,78,189,-51526
2020,rule-based,78,55,972
2021,rule-based,78,157,2663
2022,rule-based,78,51,870
2023,rule-based,78,70,1252
2024,rule-based,78,86,1431
2025,rule-based,78,56,969
2026,rule-based,78,25,429
2027,rule-based,78,145,2483
2028,rule-based,78,157,2601
2029,rule-based,78,71,1236
2030,random,78,48,-11394
2031,random,78,28,220
2032,random,78,10,99
2033,random,78,14,122
2034,random,78,41,-799
2035,random,78,34,212
2036,random,78,12,135
2037,random,78,17,-9258
2038,random,78,17,180
2039,random,78,24,-4258
2040,R2D2,78,783,-16914
2041,R2D2,78,354,-29799
2042,R2D2,78,262,-39094
2043,R2D2,78,112,-14541
2044,R2D2,78,322,-23707
2045,R2D2,78,301,-30490
2046,R2D2,78,688,-76013
2047,R2D2,78,283,-87365
2048,R2D2,78,743,-127421
2049,R2D2,78,261,-155766
2050,rule-based,78,142,2467
2051,rule-based,78,120,2032
2052,rule-based,78,182,3026
2053,rule-based,78,50,858
2054,rule-based,78,95,1646
2055,rule-based,78,107,1817
2056,rule-based,78,148,2585
2057,rule-based,78,238,4158
2058,rule-based,78,45,786
2059,rule-based,78,384,6182
2060,random,78,28,220
2061,random,78,20,204
2062,random,78,13,146
2063,random,78,20,175
2064,random,78,19,-10094
2065,random,78,38,256
2066,random,78,41,-6129
2067,random,78,14,156
2068,random,78,12,151
2069,random,78,10,115
2070,R2D2,78,404,-65179
2071,R2D2,78,267,-108492
2072,R2D2,78,618,-29777
2073,R2D2,78,580,-33383
2074,R2D2,78,333,-44073
2075,R2D2,78,756,-28147
2076,R2D2,78,310,-67476
2077,R2D2,78,292,-102004
2078,R2D2,78,516,-49153
2079,R2D2,78,401,-98711
2080,rule-based,78,260,4331
2081,rule-based,78,99,1716
2082,rule-based,78,46,799
2083,rule-based,78,120,2012
2084,rule-based,78,281,4727
2085,rule-based,78,69,1165
2086,rule-based,78,325,5314
2087,rule-based,78,63,1054
2088,rule-based,78,83,1442
2089,rule-based,78,71,1195
2090,random,78,20,180
2091,random,78,10,-9753
2092,random,78,17,161
2093,random,78,13,152
2094,random,78,9,101
2095,random,78,14,155
2096,random,78,9,108
2097,random,78,23,177
2098,random,78,27,184
2099,random,78,7,98
