,Attacker,Graph size,Episode lengths,Returns
735,round-robin,56,363,-101291
736,round-robin,56,319,-109320
737,round-robin,56,464,-91238
738,round-robin,56,977,-143947
739,round-robin,56,278,-150546
740,round-robin,56,555,-75834
741,round-robin,56,421,-121771
742,round-robin,56,521,-84745
743,round-robin,56,469,-128233
744,round-robin,56,385,-180016
745,round-robin,56,746,-88984
746,round-robin,56,546,-147617
747,round-robin,56,488,-126014
748,round-robin,56,455,-145656
749,round-robin,56,727,-120940
750,random,56,461,-98150
751,random,56,429,-118633
752,random,56,533,-89827
753,random,56,402,-165521
754,random,56,497,-102531
755,random,56,1020,-112629
756,random,56,502,-96419
757,random,56,354,-133667
758,random,56,749,-109580
759,random,56,474,-76855
760,random,56,357,-169844
761,random,56,513,-86260
762,random,56,510,-55037
763,random,56,414,-152052
764,random,56,426,-102839
765,random,56,489,-96214
766,random,56,468,-146594
767,random,56,616,-84651
768,random,56,453,-235144
769,random,56,450,-117206
770,random,56,864,-199476
771,random,56,560,-102888
772,random,56,471,-97324
773,random,56,289,-172672
774,random,56,439,-68382
775,random,56,606,-90843
776,random,56,500,-123632
777,random,56,337,-145414
778,random,56,486,-83813
779,random,56,388,-88337
780,random,56,285,-118480
781,random,56,523,-112286
782,random,56,435,-133970
783,random,56,252,-105290
784,random,56,662,-132116
785,random,56,363,-101291
786,random,56,319,-109320
787,random,56,464,-91238
788,random,56,977,-143947
789,random,56,278,-150546
790,random,56,555,-75834
791,random,56,421,-121771
792,random,56,521,-84745
793,random,56,469,-128233
794,random,56,385,-180016
795,random,56,746,-88984
796,random,56,546,-147617
797,random,56,488,-126014
798,random,56,455,-145656
799,random,56,727,-120940
800,well-informed,62,350,-194331
801,well-informed,62,704,-107442
802,well-informed,62,411,-202483
803,well-informed,62,511,-132849
804,well-informed,62,514,-209967
805,well-informed,62,482,-173383
806,well-informed,62,829,-93237
807,well-informed,62,539,-147103
808,well-informed,62,394,-101406
809,well-informed,62,563,-116283
810,well-informed,62,395,-95230
811,well-informed,62,516,-107539
812,well-informed,62,608,-112131
813,well-informed,62,408,-122391
814,well-informed,62,569,-126551
815,well-informed,62,448,-107575
816,well-informed,62,314,-208639
817,well-informed,62,384,-121130
818,well-informed,62,465,-70613
819,well-informed,62,343,-233333
820,well-informed,62,394,-140160
821,well-informed,62,543,-144317
822,well-informed,62,360,-187556
823,well-informed,62,746,-69814
824,well-informed,62,449,-126827
825,well-informed,62,454,-73085
826,well-informed,62,423,-150703
827,well-informed,62,882,-115702
828,well-informed,62,945,-209511
829,well-informed,62,483,-148667
830,well-informed,62,321,-71479
831,well-informed,62,418,-142746
832,well-informed,62,493,-89329
833,well-informed,62,355,-94258
834,well-informed,62,958,-107658
835,well-informed,62,285,-189993
836,well-informed,62,616,-126447
837,well-informed,62,379,-90764
838,well-informed,62,433,-186581
839,well-informed,62,271,-84088
840,well-informed,62,527,-153291
841,well-informed,62,477,-102274
842,well-informed,62,1333,-121477
843,well-informed,62,471,-115408
844,well-informed,62,323,-110873
845,well-informed,62,566,-96821
846,well-informed,62,1229,-94624
847,well-informed,62,351,-140938
848,well-informed,62,581,-129193
849,well-informed,62,435,-123367
850,informed,62,350,-194331
851,informed,62,704,-107442
852,informed,62,411,-202483
853,informed,62,511,-132849
854,informed,62,514,-209967
855,informed,62,482,-173383
856,informed,62,829,-93237
857,informed,62,539,-147103
858,informed,62,394,-101406
859,informed,62,563,-116283
860,informed,62,395,-95230
861,informed,62,516,-107539
862,informed,62,608,-112131
863,informed,62,408,-122391
864,informed,62,569,-126551
865,informed,62,448,-107575
866,informed,62,314,-208639
867,informed,62,384,-121130
868,informed,62,465,-70613
869,informed,62,343,-233333
870,informed,62,394,-140160
871,informed,62,543,-144317
872,informed,62,360,-187556
873,informed,62,746,-69814
874,informed,62,449,-126827
875,informed,62,454,-73085
876,informed,62,423,-150703
877,informed,62,882,-115702
878,informed,62,945,-209511
879,informed,62,483,-148667
880,informed,62,321,-71479
881,informed,62,418,-142746
882,informed,62,493,-89329
883,informed,62,355,-94258
884,informed,62,958,-107658
885,informed,62,285,-189993
886,informed,62,616,-126447
887,informed,62,379,-90764
888,informed,62,433,-186581
889,informed,62,271,-84088
890,informed,62,527,-153291
891,informed,62,477,-102274
892,informed,62,1333,-121477
893,informed,62,471,-115408
894,informed,62,323,-110873
895,informed,62,566,-96821
896,informed,62,1229,-94624
897,informed,62,351,-140938
898,informed,62,581,-129193
899,informed,62,435,-123367
900,round-robin,62,350,-194331
901,round-robin,62,704,-107442
902,round-robin,62,411,-202483
903,round-robin,62,511,-132849
904,round-robin,62,514,-209967
905,round-robin,62,482,-173383
906,round-robin,62,829,-93237
907,round-robin,62,539,-147103
908,round-robin,62,394,-101406
909,round-robin,62,563,-116283
910,round-robin,62,395,-95230
911,round-robin,62,516,-107539
912,round-robin,62,608,-112131
913,round-robin,62,408,-122391
914,round-robin,62,569,-126551
915,round-robin,62,448,-107575
916,round-robin,62,314,-208639
917,round-robin,62,384,-121130
918,round-robin,62,465,-70613
919,round-robin,62,343,-233333
920,round-robin,62,394,-140160
921,round-robin,62,543,-144317
922,round-robin,62,360,-187556
923,round-robin,62,746,-69814
924,round-robin,62,449,-126827
925,round-robin,62,454,-73085
926,round-robin,62,423,-150703
927,round-robin,62,882,-115702
928,round-robin,62,945,-209511
929,round-robin,62,483,-148667
930,round-robin,62,321,-71479
931,round-robin,62,418,-142746
932,round-robin,62,493,-89329
933,round-robin,62,355,-94258
934,round-robin,62,958,-107658
935,round-robin,62,285,-189993
936,round-robin,62,616,-126447
937,round-robin,62,379,-90764
938,round-robin,62,433,-186581
939,round-robin,62,271,-84088
940,round-robin,62,527,-153291
941,round-robin,62,477,-102274
942,round-robin,62,1333,-121477
943,round-robin,62,471,-115408
944,round-robin,62,323,-110873
945,round-robin,62,566,-96821
946,round-robin,62,1229,-94624
947,round-robin,62,351,-140938
948,round-robin,62,581,-129193
949,round-robin,62,435,-123367
950,random,62,350,-194331
951,random,62,704,-107442
952,random,62,411,-202483
953,random,62,511,-132849
954,random,62,514,-209967
955,random,62,482,-173383
956,random,62,829,-93237
957,random,62,539,-147103
958,random,62,394,-101406
959,random,62,563,-116283
960,random,62,395,-95230
961,random,62,516,-107539
962,random,62,608,-112131
963,random,62,408,-122391
964,random,62,569,-126551
965,random,62,448,-107575
966,random,62,314,-208639
967,random,62,384,-121130
968,random,62,465,-70613
969,random,62,343,-233333
970,random,62,394,-140160
971,random,62,543,-144317
972,random,62,360,-187556
973,random,62,746,-69814
974,random,62,449,-126827
975,random,62,454,-73085
976,random,62,423,-150703
977,random,62,882,-115702
978,random,62,945,-209511
979,random,62,483,-148667
980,random,62,321,-71479
981,random,62,418,-142746
982,random,62,493,-89329
983,random,62,355,-94258
984,random,62,958,-107658
985,random,62,285,-189993
986,random,62,616,-126447
987,random,62,379,-90764
988,random,62,433,-186581
989,random,62,271,-84088
990,random,62,527,-153291
991,random,62,477,-102274
992,random,62,1333,-121477
993,random,62,471,-115408
994,random,62,323,-110873
995,random,62,566,-96821
996,random,62,1229,-94624
997,random,62,351,-140938
998,random,62,581,-129193
999,random,62,435,-123367
1000,well-informed,65,456,-135415
1001,well-informed,65,628,-170103
1002,well-informed,65,559,-111090
1003,well-informed,65,446,-166725
1004,well-informed,65,1076,-170306
1005,well-informed,65,613,-146806
1006,well-informed,65,439,-170101
1007,well-informed,65,848,-115793
1008,well-informed,65,935,-241443
1009,well-informed,65,592,-111659
1010,well-informed,65,367,-140134
1011,well-informed,65,572,-126136
1012,well-informed,65,663,-136427
1013,well-informed,65,717,-137021
1014,well-informed,65,1075,-160714
1015,well-informed,65,382,-130650
1016,well-informed,65,658,-219113
1017,well-informed,65,681,-65033
1018,well-informed,65,443,-157392
1019,well-informed,65,862,-95315
1020,well-informed,65,1199,-149783
1021,well-informed,65,740,-161801
1022,well-informed,65,669,-152062
1023,well-informed,65,757,-73621
1024,well-informed,65,764,-113619
1025,well-informed,65,689,-150712
1026,well-informed,65,766,-132819
1027,well-informed,65,1026,-126313
1028,well-informed,65,594,-136583
1029,well-informed,65,588,-94867
1030,well-informed,65,928,-154247
1031,well-informed,65,809,-107371
1032,well-informed,65,929,-135667
1033,well-informed,65,459,-166065
1034,well-informed,65,603,-102722
1035,well-informed,65,717,-111506
1036,well-informed,65,640,-154397
1037,well-informed,65,632,-142774
1038,well-informed,65,838,-80100
1039,well-informed,65,862,-102804
1040,well-informed,65,876,-104841
1041,well-informed,65,500,-130467
1042,well-informed,65,445,-83527
1043,well-informed,65,667,-114507
1044,well-informed,65,573,-130404
1045,well-informed,65,646,-82620
1046,well-informed,65,849,-110439
1047,well-informed,65,357,-147381
1048,well-informed,65,346,-151965
1049,well-informed,65,306,-125605
1050,informed,65,456,-135415
1051,informed,65,628,-170103
1052,informed,65,559,-111090
1053,informed,65,446,-166725
1054,informed,65,1076,-170306
1055,informed,65,613,-146806
1056,informed,65,439,-170101
1057,informed,65,848,-115793
1058,informed,65,935,-241443
1059,informed,65,592,-111659
1060,informed,65,367,-140134
1061,informed,65,572,-126136
1062,informed,65,663,-136427
1063,informed,65,717,-137021
1064,informed,65,1075,-160714
1065,informed,65,382,-130650
1066,informed,65,658,-219113
1067,informed,65,681,-65033
1068,informed,65,443,-157392
1069,informed,65,862,-95315
1070,informed,65,1199,-149783
1071,informed,65,740,-161801
1072,informed,65,669,-152062
1073,informed,65,757,-73621
1074,informed,65,764,-113619
1075,informed,65,689,-150712
1076,informed,65,766,-132819
1077,informed,65,1026,-126313
1078,informed,65,594,-136583
1079,informed,65,588,-94867
1080,informed,65,928,-154247
1081,informed,65,809,-107371
1082,informed,65,929,-135667
1083,informed,65,459,-166065
1084,informed,65,603,-102722
1085,informed,65,717,-111506
1086,informed,65,640,-154397
1087,informed,65,632,-142774
1088,informed,65,838,-80100
1089,informed,65,862,-102804
1090,informed,65,876,-104841
1091,informed,65,500,-130467
1092,informed,65,445,-83527
1093,informed,65,667,-114507
1094,informed,65,573,-130404
1095,informed,65,646,-82620
1096,informed,65,849,-110439
1097,informed,65,357,-147381
1098,informed,65,346,-151965
1099,informed,65,306,-125605
1100,round-robin,65,456,-135415
1101,round-robin,65,628,-170103
1102,round-robin,65,559,-111090
1103,round-robin,65,446,-166725
1104,round-robin,65,1076,-170306
1105,round-robin,65,613,-146806
1106,round-robin,65,439,-170101
1107,round-robin,65,848,-115793
1108,round-robin,65,935,-241443
1109,round-robin,65,592,-111659
1110,round-robin,65,367,-140134
1111,round-robin,65,572,-126136
1112,round-robin,65,663,-136427
1113,round-robin,65,717,-137021
1114,round-robin,65,1075,-160714
1115,round-robin,65,382,-130650
1116,round-robin,65,658,-219113
1117,round-robin,65,681,-65033
1118,round-robin,65,443,-157392
1119,round-robin,65,862,-95315
1120,round-robin,65,1199,-149783
1121,round-robin,65,740,-161801
1122,round-robin,65,669,-152062
1123,round-robin,65,757,-73621
1124,round-robin,65,764,-113619
1125,round-robin,65,689,-150712
1126,round-robin,65,766,-132819
1127,round-robin,65,1026,-126313
1128,round-robin,65,594,-136583
1129,round-robin,65,588,-94867
1130,round-robin,65,928,-154247
1131,round-robin,65,809,-107371
1132,round-robin,65,929,-135667
1133,round-robin,65,459,-166065
1134,round-robin,65,603,-102722
1135,round-robin,65,717,-111506
1136,round-robin,65,640,-154397
1137,round-robin,65,632,-142774
1138,round-robin,65,838,-80100
1139,round-robin,65,862,-102804
1140,round-robin,65,876,-104841
1141,round-robin,65,500,-130467
1142,round-robin,65,445,-83527
1143,round-robin,65,667,-114507
1144,round-robin,65,573,-130404
1145,round-robin,65,646,-82620
1146,round-robin,65,849,-110439
1147,round-robin,65,357,-147381
1148,round-robin,65,346,-151965
1149,round-robin,65,306,-125605
1150,random,65,456,-135415
1151,random,65,628,-170103
1152,random,65,559,-111090
1153,random,65,446,-166725
1154,random,65,1076,-170306
1155,random,65,613,-146806
1156,random,65,439,-170101
1157,random,65,848,-115793
1158,random,65,935,-241443
1159,random,65,592,-111659
1160,random,65,367,-140134
1161,random,65,572,-126136
1162,random,65,663,-136427
1163,random,65,717,-137021
1164,random,65,1075,-160714
1165,random,65,382,-130650
1166,random,65,658,-219113
1167,random,65,681,-65033
1168,random,65,443,-157392
1169,random,65,862,-95315
1170,random,65,1199,-149783
1171,random,65,740,-161801
1172,random,65,669,-152062
1173,random,65,757,-73621
1174,random,65,764,-113619
1175,random,65,689,-150712
1176,random,65,766,-132819
1177,random,65,1026,-126313
1178,random,65,594,-136583
1179,random,65,588,-94867
1180,random,65,928,-154247
1181,random,65,809,-107371
1182,random,65,929,-135667
1183,random,65,459,-166065
1184,random,65,603,-102722
1185,random,65,717,-111506
1186,random,65,640,-154397
1187,random,65,632,-142774
1188,random,65,838,-80100
1189,random,65,862,-102804
1190,random,65,876,-104841
1191,random,65,500,-130467
1192,random,65,445,-83527
1193,random,65,667,-114507
1194,random,65,573,-130404
1195,random,65,646,-82620
1196,random,65,849,-110439
1197,random,65,357,-147381
1198,random,65,346,-151965
